source,translation_clean,reference
যা গত বছরের একই সময়ের চেয়ে ২ দশমিক ১৮ শতাংশ বেশি।,"The translation of the Bengali text is: ""What was 2% more than the same time last year.""",Which is 2.8 per cent more than the same period of last year.
"কিন্তু তার সরকার এখন হতাশাগ্রস্ত পুরুষ, মহিলা এবং বাচ্চাদের ভাষানচরে ধরে রেখেছে।","The translation of the Bengali text is: ""But now, the government is holding the language of men, women, and children hostage.""","But her government is now holding desperate men, women, and children on Bhasan Char."
"ইতো শেখ হাসিনাকে বলেন যে, জাপানের প্রধানমন্ত্রী শিনজো অ্যাবে তাঁর গতিশীল নেতৃত্বের ভূয়শী প্রশংসা করেছেন এবং তিনি (অ্যাবে) দুই দেশের মধ্যে উন্নয়ন সহযোগিতা আরো শক্তিশালী করতে অপেক্ষমান রয়েছেন।","It is mentioned that Shinzo Abe, the Prime Minister of Japan, has highly praised Sheikh Hasina's dynamic leadership and is waiting to strengthen development cooperation between the two countries.",Ito told Sheikh Hasina that Japanese Prime Minister Shinzo Abe lauded her dynamic leadership and he (Abe) is looking forward to further strengthening the development assistance between the two countries.
আন্তর্জাতিক সম্প্রদায় দ্রুত পদক্ষেপ নেবে বলে আমরা মনে করি।,We believe that the international community will take swift action.,We believe that the international community will take a prompt action very soon.
"পররাষ্ট্র সচিব উল্লেখ করেন যে, প্রধানমন্ত্রী আরও বলেছেন, বাংলাদেশের ১০টি পণ্যের কোটা ও শুল্ক মুক্ত প্রবেশাধিকারের বিষয়টি নিয়ে শিগগিরই আলোচনা অনুষ্ঠিত হবে।",The Foreign Secretary mentioned that the Prime Minister has also said that discussions on the issue of quota and duty-free entry for 10 Bangladeshi products will be held soon.,The foreign secretary noted that the Prime Minister also said the issue of discussion on duty free and quota free access of 10 Bangladeshi products will take place soon.
ভোটে দলের নিরঙ্কুশ বিজয়ে মোদিকে শেখ হাসিনার অভিনন্দন,"The translation of the Bengali text is: ""Modi's unbridled victory in the party's vote has been congratulated by Sheikh Hasina.""",Hasina congratulates Modi on his party's landslide poll victory
"শেখ হাসিনা তার সম্মানে বাংলাদেশি কমিউনিটির দেওয়া একটি সংবর্ধনা অনুষ্ঠানে যোগদান করবেন, হোলি আর্টিজানে হামলায় ক্ষতিগ্রস্ত জাপানিদের পরিবারের সদস্যদের সঙ্গে সাক্ষাৎ করবেন এবং জাপানি ব্যবসায়ী নেতাদের সঙ্গে বৈঠক করবেন।","Sheikh Hasina will join a community event in honor of her, meet with family members of Japanese victims of the Holy Artisan attack, and hold talks with Japanese business leaders.","Sheikh Hasina will join a Bangladeshi community reception event to be hosted in her honour, meet with family members of the Japanese victims of the Holey Artisan attack and Japanese business leaders."
শুক্রবার দুপুরে খুলনা শহরের শিরোমনি তেঁতুলতলা এলাকায় এই দুর্ঘটনা ঘটে।,The accident occurred in the Tantul Tala area of Khulna city on Saturday afternoon.,The accident took place at Shiromini Tetultola area of Khulna city on Friday noon.
"আমাদের রাজনীতি, অর্থনীতি ও সমাজের জন্য এ ধরনের সহযোগিতাপূর্ণ সংস্কৃতি প্রয়োজন।","This translation is necessary for our politics, economy, and society.","Such collaborative culture is essential across our politics, economy and society."
"ট্রানজিটের বিষয়ে তিনি বলেন, এই অঞ্চলে বাংলাদেশ-ভুটান-ভারত-নেপাল (বিবিআইএন) সড়ক এবং রেল যোগাযোগের বিষয়টি একটি বড় উদ্যোগ।","The text translates to: ""Regarding the matter of transit, he said, this region's Bangladesh-Bhutan-India-Nepal (BBIN) road and rail connectivity is a major project.""","In the matter of transit, he said, the Bangladesh-Bhutan-India-Nepal (BBIN) road and rail connectivity is a big initiative in the region."
৩ জুন রাত ১টা ১০ মিনিটে তিনি ফিনল্যান্ডের হেলসিংকির উদ্দেশে জেদ্দা ত্যাগ করবেন।,"On June 3rd at 1:10 AM, he will leave for Helsinki, Finland.","On June 3 at 1:10 am, she will depart Jeddah for Helsinki, Finland."
আমরা প্রধানমন্ত্রী শেখ হাসিনার হাতকে শক্তিশালী করতে কাজ করে যাবো।,We will work to strengthen the Prime Minister Sheikh Hasina's hand.,We will work to strengthen hands of Prime Minister Sheikh Hasina.
বাংলাদেশের প্রযুক্তিগত উৎকর্ষতা এখন বিশ্বের বিভিন্ন দেশের জন্য একটা নজির।,The technological advancement of Bangladesh is now a model for various countries around the world.,The technological excellence of Bangladesh is now an example for other countries in the world.
ওয়ালটনের সঙ্গে ব্যবসায়িক সম্পর্ক তৈরিতে খুব শিগগিরই আবার বাংলাদেশ সফর করবেন বলে জানান কম্বোডিয়ার প্রতিমন্ত্রী।,The Cambodian Minister mentioned that they will visit Bangladesh again soon to establish a business relationship with Walton.,The Cambodian minister said he would tour Bangladesh again soon to build business relations with Walton.
যুক্তরাজ্যে সরকারি সফরে বুধবার সকালে লন্ডনের উদ্দেশে ঢাকা ত্যাগ করেছেন প্রধানমন্ত্রী শেখ হাসিনা।।,"The Prime Minister, Sheikh Hasina, has left Dhaka this morning heading towards London for a government visit to the UK.",Prime Minister Sheikh Hasina left Dhaka for London Wednesday morning on an official visit to the United Kingdom.
আওয়ামী লীগের নেতৃত্বে গত কয়েক বছরে অর্থনৈতিক ক্ষেত্রে বাংলাদেশ অনেক এগিয়ে গেছে।,"The text translates to: ""Under the leadership of Awami League, Bangladesh has made significant progress in the economic sector over the past few years.""",Bangladesh has stepped forward in economic sector in last couple of years under the leadership of Awami League.
২০১৯ সালের মধ্যে পদ্মা সেতু প্রকল্প সম্পন্ন হওয়ার কথা।,The Padma Bridge project is expected to be completed by 2019.,The Padma Bridge project is scheduled to end by 2019.
প্রধানমন্ত্রী এসময় যাদের জমি-জমা নিয়ে উন্নয়ন প্রকল্প বাস্তবায়ন করা হচ্ছে তাদেরকে সঠিকভাবে ক্ষতিপূরণ প্রদানের বিষয়ে লক্ষ্য রাখার জন্য সংশ্লিষ্ট কর্তৃপক্ষকে নির্দেশ দেন।,The Prime Minister instructs the relevant authorities to ensure that those whose land is being acquired for development projects receive proper compensation.,"At that time, the prime minister instructed the authorities concerned to give proper compensation to the people whose lands are acquired for development."
বাংলাদেশ থেকে রোহিঙ্গাদের ফিরিয়ে নিতে মিয়ানমারের সরকারকে সম্মত করতে বেইজিং চেষ্টা করবে বলে ঢাকাকে আশ্বস্ত করেছে।,"The government of Myanmar will try to persuade the Chinese government to support bringing back the Rohingyas from Bangladesh, according to Dhaka.",Beijing assured Dhaka that it would try to persuade Myanmar Goverment for taking back Rohingyas from Bangladesh.
বইটিতে আমি ভ্রমণের অভিজ্ঞতা তুলে ধরার পাশাপাশি জায়গাটি সম্পর্কে গুরুত্বপূর্ণ তথ্য তুলে ধরার চেষ্টা করেছি।,"I have tried to bring out my travel experiences and at the same time, important information about the place in the book.","In the book, I have tried to highlight the experience of visiting there as well as important information about the place."
"রাজনৈতিক এবং সাংস্কৃতিক সম্পর্কও সুন্দর অবস্থানে রয়েছে, তিনি বলেন।","The translation of the Bengali text is: ""Both political and cultural relationships are in a beautiful state, he says.""","Political and cultural relations remain at good level, he said."
এ ব্যবসা এ দেশে হতে দেয়া হবে না।,"The translation of the Bengali text ""এ ব্যবসা এ দেশে হতে দেয়া হবে না"" is ""This business will not be allowed in this country.""",The business will not be allowed to run in the country.
রোহিঙ্গা ইস্যুতে অক্টোবরে বাংলাদেশে আসছে মিয়ানমারের প্রতিনিধিদল,"The translation of the Bengali text is: ""A delegation from Myanmar has been arriving in Bangladesh in October regarding the Rohingya issue.""",Myanmar delegation coming to Bangladesh in October on Rohingya issue
"আওয়ামী লীগ ব্যবসায়ী সমাজের পাশাপাশি কৃষক, শ্রমিক, ছাত্র এবং শিক্ষকসহ সব পেশার মানুষের কাছ থেকে ব্যাপক সমর্থন পেয়েছে বলে তিনি উল্লেখ করেন।","The leader mentioned that they have received extensive support from all professions including farmers, workers, students, and teachers, alongside businesspeople.","Awami League got huge supports from the business community as well as from the professionals such as farmers, labourers, students and teachers, she mentioned."
এর আগে গত বছরের জুলাই মাসে লন্ডনে ৭৫ বছর বয়সি প্রেসিডেন্ট তার স্বাস্থ্য পরীক্ষা করিয়েছিলেন।,"Before that, in July last year, President, who was 75 years old at the time, had his health check-up in London.","Earlier, the 75-year-old President Hamid conducted his health check-up in London in July last year."
"ডেল্টা পরিকল্পনা ২১০০ এর স্টেক হোল্ডারদের সঙ্গে ঘনিষ্ঠভাবে কাজ করা জিসিএ বাংলাদেশ, এটির সফল বাস্তবায়ন নিশ্চিত করার জন্য আন্তর্জাতিক সেরা চর্চা কাজে লাগাতে এবং অর্থ সংস্থান করতে কাজ করবে বলেও তিনি আশা প্রকাশ করেন।","The text translates to: ""GIZ Bangladesh will closely work with the stakeholders of the Delta Plan 2100 to ensure its successful implementation. It will also engage in international best practice projects and secure funding for these endeavors.""","Working closely with the stakeholders of Delta Plan 2100, GCA Bangladesh, she hoped, would work to harness international best practices and finance to ensure its successful implementation."
প্রধানমন্ত্রী শেখ হাসিনাকে ফোনে পবিত্র রমজানের শুভেচ্ছা জানিয়েছেন ফিলিস্তিনের প্রেসিডেন্ট মাহমুদ আব্বাস।,"The President of Palestine, Mahmoud Abbas, has conveyed his best wishes to Prime Minister Sheikh Hasina over the phone during the holy month of Ramadan.",Palestinian President Mahmoud Abbas called Prime Minister Sheikh Hasina and extended holy Ramadan greetings to her.
বৃত্তাকার সড়ক ও নৌপথ চালুর ফলে মানুষ ও পণ্য পরিবহন সহজতর হবে।,"The translation of the Bengali text is: ""With the operation of circular roads and waterways, transportation of humans and goods will become easier.""","With the introduction of circular road and river route, transportation of people and goods would be easier."
বাংলাদেশ বিনিয়োগবান্ধব উদার গণতান্ত্রিক রাষ্ট্র বলে জানিয়েছেন বাংলাদেশ বিনিয়োগ উন্নয়ন কর্তৃপক্ষের (বিডা) নির্বাহী চেয়ারম্যান কাজী মোঃ আমিনুল ইসলাম।,"The text translates to: ""Bangladesh has been known as a liberal democratic investment-friendly state, according to the Executive Chairman of the Bangladesh Investment Development Authority (BIDA), Kazi M. Aminul Islam.""",Executive Chairman of Bangladesh Investment Development Authority (BIDA) Kazi Md. Aminul Islam regarded Bangladesh as the investment-friendly liberal democratic state.
"উনি অনেক জানতেন, তবুও তিনি শিখতেন এবং শিখতে ভালোবাসতেন।","The translation of the Bengali text is: ""He knew a lot, yet he loved to learn and learn well.""","He knew a lot, but he used to learn and loved to learn."
বাবা দিবস উপলক্ষে বিশেষ ডুডল তৈরি করেছে গুগল।,Google has created a special doodle for Father's Day.,Google has created a speical doodle on the occasion of Father's Day.
বুধবার হবিগঞ্জে এক সম্মেলনে আওয়ামী লীগের সাধারণ সম্পাদক এ মন্তব্য করেন।,The general secretary of Awami League made a statement at a meeting in Habiganj on Thursday.,The Awami League general secretary made the opinion at a conference at Habiganj on Wednesday.
শুক্রবার রাজধানীর বঙ্গবন্ধু অ্যাভিনিউয়ে দলীয় প্রধান কার্যালয়ে আয়োজিত আওয়ামী লীগের কেন্দ্রীয় নির্বাহী কমিটি ও উপদেষ্টামণ্ডলীর এক যৌথ সভায় এ কথা বলেন প্রধানমন্ত্রী।,"The Prime Minister spoke at a joint meeting of the Central Executive Committee and the Advisory Council of the Awami League, held at the Bangabandhu Avenue in the capital on Friday.",The premier was said this in a joint meeting of the Awami League's central executive committee and advisory council at its head office at Bangabandhu Avenue in the capital on Friday.
"আফ্রিকাতে বিশেষভাবে রাজনীতি বিক্ষুব্ধ সময়ে ভুল এবং বানোয়াট তথ্য প্রচারণা প্রায়শই অনলাইনে চাউর হয়ে ওঠার সময়গুলোতে মার্কিন যুক্তরাষ্ট্র-ভিত্তিক প্রযুক্তি এবং সামাজিক গণ যোগাযোগাযোগ মাধ্যমের সংস্থাগুলি ""সত্য"" নির্ধারক হয়ে ওঠে।","In times of political turmoil in Africa, especially, false and misleading information often spreads rapidly online. During these times, organizations based in the United States, leveraging technology and social media platforms, tend to become the arbiters of truth.","In Africa, where mis- and disinformation campaigns often go viral online, especially during politically charged periods, US-based tech and social media companies become arbiters of the ""truth."""
বুধবার মধ্যরাতে টঙ্গী ব্রিজ এলাকায় র‌্যাবের সঙ্গে 'বন্দুকযুদ্ধে' দুই সন্দেহভাজন ডাকাত নিহত হয়েছেন।,"On Wednesday night, two suspected robbers were killed in a shootout with RAB at Tongi Bridge area.",Two suspected robbers were killed in a 'gunfight' with RAB in Tongi bridge area on Wednesday midnight.
বাংলাদেশ ও ভিয়েতনাম বাণিজ্য ও সংস্কৃতিসহ বিভিন্ন খাতে অভিজ্ঞতা বিনিময় করতে পারে,"The text translates to: ""Bangladesh and Vietnam can exchange experiences in various fields including trade and culture.""",Bangladesh and Vietnam can share their experiences in different fields including trade and culture.
গেল বছর জুড়ে রোহিঙ্গা ইস্যু নিয়ে সরকার সরব ছিল ।,The government was quite active last year regarding the Rohingya issue.,The government was active over Rohingya issue in last year.
জাতির জনক বঙ্গবন্ধু শেখ মুজিবুর রহমানের প্রতিকৃতিতে শ্রদ্ধা নিবেদনের মাধ্যমে তাদের নতুন যাত্রা শুরু হয়।,"The translation of the Bengali text is: ""In reverence to the portrait of Bangabandhu Sheikh Mujibur Rahman, they begin their new journey.""",Their new journey began through paying tributes to Father of the Nation Bangabandhu Sheikh Mujibur Rahman's portrait.
"তিনি বলেন, আমি এই বর্বরোচিত ঘটনার তীব্র নিন্দা জানাই।","He said, ""I condemn this brutal event with great severity.""","We strongly condemn the barbaric incident, she said."
