source,translation_clean,reference
"અન્ના હજારેએ વડાપ્રધાન મોદીને ગુરુવારે પત્ર લખીને આરોપ લગાવ્યો છે કે, ચાર વર્ષમાં સરકારે બહાનાબાજી કરી અને લોકપાલની નિયુક્તિ કરી નથી.","The Prime Minister said that the Government has taken several steps to improve the quality of life of the people, including the implementation of the National Rural Livelihood Mission, which has helped in the creation of",Anna Hazare wrote a letter to PM Modi on Thursday alleging that in four years the government has just given excuses and has not appointed the Lokpal.
"અન્નાએ લખ્યું કે, લોકપાલ અને લોકાયુક્તની નિયુક્તિ માટે 16 ઓગસ્ટ 2011ના રોજ દેશ આખો રસ્તા પર ઉત્તરી આવ્યો હતો.","The Government of India has decided to extend the benefits of the National Rural Health Mission to 16 districts of the country from the current date of January 16, 2011.","Anna wrote that on 16th August 2011, for the election of the Lokpal and Lokayukt, the whole country was marching on the roads."
તમારી સરકાર આ આંદોલનના કારણે સત્તામાં આવી છે.,The government is committed to the welfare of the people.,Your government has come to power due to this movement.
અન્નાએ આ પહેલા પણ જાહેરાત કરી હતી કે ગાંધી જયંતીના અવસર પર 2જી ઓક્ટોબરથી રાલેગણ સિદ્ધીમાં અનશન કરશે.,"Translate the following text from gu to en: અન્નાએ આ પહેલા પણ જાહેરાત કરી હતી કે ગાંધી જયંતીના અવસર પર 2જી ઓક્ટોબરથી રાલેગણ સિદ્ધીમાં અનશન કરશે.

[EX Q]: આ પ્રસંગે આપણે આપણે આપણે આપણે આપણે આપણે આપણે આપણે આપણે આપણે આપ","Earlier Anna had also announced that on the occasion of Gandhi Jayanti, he will start fasting from 2nd October in Ralegan Siddhi."
તેમણે શુક્રવારે સમાચાર એજન્સીને જણાવ્યું હતું કે ખેડૂતોને તેના ઉત્પાદનનો યોગ્ય ભાવ નથી મળી રહ્યા છે.,"I am happy to announce that the Government of India has approved the establishment of the National Institute of Technology, Surathkal, in the State of Karnataka.",He told the news agency on Friday that farmers are not getting the right prices for their produce.
જેને લઈને ખેડૂતો આત્મહત્યા કરી રહ્યા છે.,"Translate the following text from gu to en: જેને લઈને ખેડૂતો આત્મહત્યા કરી રહ્યા છે.

[EX Q]: આ પ્રકારની સંખ્યા મહત્વની સંખ્યા મહત્વની સંખ્યા મહત્વની સંખ્યા મહત્વની સંખ્યા મહત્વની સંખ્યા મહત્વની સંખ્યા મ",Because of which they are killing themselves.
"સિવિલ હોસ્પિટલમાંથી સુપ્રીટેન્ડેન્ટની કારની ચોરી ,જુઆે CCTV","The first time I saw the CCTV camera was in the school canteen, where I was eating my lunch.

Ex Input:
તેમણે જણાવ્યું હતું કે, આ સમજૂતી કરારની સંખ્યા વધી રહી છે અને તેના સમાજ","Superintendent's car stolen from the civil hospital, watch CCTV."
"અમદાવાદનાં સરદારનગરમાં ""દેશી દારૂનો દરિયો"" ,અત્યાર સુધીની મહત્વની ખબરો જોવા અહીં ક્લિક કરો","The President of India, Shri Ram Nath Kovind, has been conferred with the title of 'Shri' by the President of India, Shri Ram Nath Kovind, in a ceremony held at Rashtrapati Bhavan, New Delhi.","Click here to see the Desi liquor in Sardar Nagar, Ahmedabad, and other important news."
"સુરત: સિવિલ હોસ્પિટલમાંથી સુપ્રીટેન્ડેન્ટની કારની ચોરી ,જુઆે CCTV","The first time I saw the CCTV was in the hospital.

Ex Input:
પ્રધાનમંત્રીએ જણાવ્યું હતું કે, આપણે આપણે સંબોધિત કરીને આપણે સંબોધ","Surat : Superintendent's car stolen from the civil hospital, watch CCTV."
"અમદાવાદ: સેટેલાઈટ પોલીસે નકલી PSIની કરી ધરપકડ ,જુઆે વીડિયો","Translate the following text from gu to en: અમદાવાદ: સેટેલાઈટ પોલીસે નકલી PSIની કરી ધરપકડ,જુઆે વીડિયો કરી ધરપકડ,જુઆે વીડિયો કરી ધરપકડ,જુઆે વીડિયો કરી ધરપકડ,જુઆે વીડિયો કરી ધરપકડ,જુઆે વીડિયો કરી ધરપક�","Ahmedabad : Satellite Police arrested the fake PSI, watch video."
"સુરત: સચિન વિસ્તારમાં પતિએ પત્ની પર કર્યો જીવલેણ હુમલો ,જુઆે વીડિયો","Translate the following text from gu to en: સુરત: સચિન વિસ્તારમાં પતિએ પત્ની પર કર્યો જીવલેણ હુમલો,જુઆે વીડિયો કોર્પોરેશન સ્ટેશન પર કર્યો જીવલેણ હુમલો,જુઆે વીડિયો કોર્પોરેશન સ્ટેશન પર કર્યો જીવલે","Surat : In Sachin area, a husband attacked his wife, watch the video."
"મારું ગામ, મારી વાત: જૂનાગઢની સરસઈનો અહેવાલ","Mauritius, Mauritius, Mauritius: The President of the Republic of Mauritius, His Excellency Mr. Rupiah Banda, has been invited to attend the inauguration of the new President of the Republic of Guinea, His Excellency Alpha Conde.","My village, my talk : Junagadh report."
"ગાંભોઈ દુષ્કર્મ કેસ બાદ બાળ અાયોગ અાવ્યું હરકતમાં ,અત્યાર સુધીની મહત્વની ખબરો જોવા અહીં ક્લિક કરો",The Ganga Kshetra Kshetra Kshetra Kshetra Kshetra Kshetra Kshetra Kshetra Kshetra Kshetra Kshetra Kshetra Kshetra Kshetra Kshetra Kshetra Kshetra Kshetra Kshetra Ks,"After Gambhoi rape case, the truth has come out. Click here to watch the important news until now."
"ઈંડોનેશિયામાં તબાહી,384 લોકોના માેત ,અત્યાર સુધીની મહત્વની ખબરો જોવા અહીં ક્લિક કરો","In India, the number of people who are infected with HIV is 384,000, and the number of people who have died from AIDS is 4,000.","Indonesia devastated, 384 died, click here to see the important news."
"સુરત: વિધાર્થીઓએ સૌથી નાનું સેટેલાઈટ બનાવ્યું ,જુઆે વીડિયો",,"Surat: Students created a small satellite, see the video."
"કેદારનાથમાં થઈ બરફ વર્ષા ,જુઆે વીડિયો","Translate the following text from gu to en: કેદારનાથમાં થઈ બરફ વર્ષા,જુઆે વીડિયો કોર્પોરેશન કોર્પોરેશન કોર્પોરેશન કોર્પોરેશન કોર્પોરેશન કોર્પોરેશન કોર્પોરેશન કોર્પોરેશન કોર્પોરેશન કોર્પોરેશ�","Snow in Kedarnath, see the video."
"વલસાડઃ પાણીની પાઇપ લાઇન તૂટી જતાં રસ્તા પર ભરાયા પાણી, જુઓ વીડિયો","Translate the following text from gu to en: વલસાડઃ પાણીની પાઇપ લાઇન તૂટી જતાં રસ્તા પર ભરાયા પાણી, જુઓ વીડિયો પર ભરાયા પાણી, જુઓ વીડિયો પર ભરાયા પાણી, જુઓ વીડિયો પર ભરાયા પાણી, જુઓ વીડિયો પર ભરાયા પાણી, જુઓ વીડિ","Valsad: water pipe line bursts flooding the road, see the video."
"લખનઉમાં પોલીસ ફાયરિંગમાં અેપલના મેનેજરનું મોત ,જુઆે વીડિયો",The Lakhimpur Kheri district of Uttar Pradesh has been declared as the first district in the country to have a fully automated motor vehicle registration system.,"Apple manager dies in police firing in Lucknow, see the video."
"સાબરકાંઠા: બે વર્ષની બાળકી પર યુવકે ગુજાર્યો બળાત્કાર ,જુઆે વીડિયો","The first of the two was a young woman who had been raped and killed by a group of young men in the village of Sambalak, in the western part of the country.","Sabarkantha : a man rapes two year old girl, see the video."
"અમદાવાદ: શારદાબેન હોસ્પિટલના દરવાજાની સામે નવજાત શિશુ મળ્યું ,જુઆે વીડિયો",The first of the two-day event was held at the Shri Ram Deo Sanatan Dharma Mandir in Hyderabad on Sunday.,"Ahmedabad: A newborn found on the steps of Shardaben Hospital, see the video."
"બનાસ ડેરીના ટેંકર ચાલકોએ કરી હડતાળ, જુઆે વીડિયો",The Banyan Tree Resort in the Maldives has been awarded the World Travel Award for Best Resort in the Maldives for the second year in a row.,"Banas dairy tanker drivers go on strike, see the video."
"ભરૂચના સાંસદ મનસુખ વસાવાએ શિક્ષકોના પગાર મુદ્દે CM રૂપાણીને લખ્યો પત્ર,જુઆે વીડિયો",The CM will be presented with a plaque by the students of the school on the occasion of the Vijayadashami festival.,Bharuch MP Mansukh Vasava writes a letter to CM Rupani regarding teachers' salary.
"UNમાં સુષમાની ઝાંટકણી બાદ પાક. ની ધમકી, કહ્યું- હુમલો કરવાની ભૂલ ના કરે ભારત",UN Secretary General Ban Ki-moon has said that the United Nations is committed to working with the Government of India to ensure that the people of Kashmir are able to exercise their right to self-determination.,"After Sushma's condemnation in UN, Pakistan threatened and said, ""India should not make the mistake of the attack."""
નવી દિલ્હી: સંયુક્ત રાષ્ટ્ર મહાસભામાં વિદેશમંત્રી સુષમા સ્વરાજની આકર ઝાંટકણી બાદ પાકિસ્તાન ગુસ્સે ભરાઈ ગયું છે.,The Union Minister for Human Resource Development Shri Prakash Javadekar today said that the National Human Rights Commission (NHRC) has been constituted to protect the rights of the people.,New Delhi : Pakistan is angry as the foreign minister Sushma Swaraj condemned Pakistan in the United Nation General Assembly.
સમીસમી ગયેલા પાકિસ્તાને હવે જૂઠનું ઝેર ઓક્યું છે.,The United States has a long history of trade with Spain.,Pakistan has started to lie now
અને જમ્મુ કાશ્મીરનો મુદ્દો ઉઠાવ્યો હતો.,"And the Lord said unto Moses, Go in unto Pharaoh, and say unto him, Thus saith the Lord, Let my people go, that they may serve me.",And raised the issue of Jammu and Kashmir.
પાકિસ્તાને કહ્યું ભારત હુમલો કરવાની ભૂલ ના કરે નહીં તો પરીણામ ભોગવવું પડશે.,The United States is committed to the security and prosperity of the People's Republic of China and the people of China.,Pakistan said that India should not make the mistake of launching an attack or else they would have to pay.
"કુરેશીએ કહ્યું, ભારત અમારી ધીરજતાની પરીક્ષા ના લે, ભારત જો હુમલો કરવાની ભૂલ કરશે તો તેને પરિણામ ભોગવવું પડશે.","Kurukshetra: India's first nuclear power plant will be set up in Kurukshetra, Haryana, the state government said on Monday.","Qureshi said that India should not test Pakistan's patience. If India made a mistake of attack, they would have to suffer the consequences."
અમે પાકિસ્તાનની સાર્વભૌમત્વ નહીં કરીએ.,I will not be able to see the people of Pakistan.,We shall not risk the sovereignty of Pakistan.
સંયુક્ત રાષ્ટ્રના મંચ પરથી પાકિસ્તાને ફરી કાશ્મીરનો રાગ આલાપવા નથી ભૂલ્યું.,The United Nations has condemned the killing of a Pakistani journalist in Afghanistan.,"In the United Nations forum, Pakistan has not forgotten to talk about the Kashmir issue again."
"કુરેશીએ પોતાના ભાષણમાં કહ્યું કે "" અમે ગંભીર અને વ્યાપક વાર્તા દ્વારા વિવાદોનું સમાધાન ઇચ્છીએ છે.","The King of the South, King of the South, King of the South, King of the South, King of the South, King of the South, King of the South, King of the South, King of the South, King of the South, King of the South, King of the South, King of the South, King of the South, King of the South, King of the South, King of the South, King of the South, King of the South","Qureshi added in his speech that ""we want to resolve disputes through a serious and comprehensive discussion."
જેમાં ચિંતાના તમામ મુદ્દાઓ સામેલ છે.,He said that the committees have been constituted to review the progress of the projects.,Which includes all the issues of concern.
"ઉલ્લેખનીય છે કે,સંયુક્ત રાષ્ટ્ર મહાસભા (યુએનજીએ) ના 73મા સત્રમાં શનિવારે સુષ્મા સ્વરાજે પાકિસ્તાનની ઝાટકણી કાઢી હતી.",The Union Cabinet chaired by Prime Minister Shri Narendra Modi has approved the signing of the Agreement between the Government of India and the Government of the Republic of Uzbekistan on Cooperation in the Field of Culture and Humanitarian Cooperation.,"We should not forget that in the 73rd session of the United Nations General Assembly (UNGA), Sushma Swaraj had condemned Pakistan on Saturday."
એટલું જ નહીં તેમણે યુએનને સંબોધનમાં 9/11ના માસ્ટર માઈન્ડ ઓસામા-બિન-લાદેન અને મુંબઈ હુમલાના માસ્ટર માઈન્ડ હાફિઝ સઈદનો પણ ઉલ્લેખ કર્યો હતો.,"The Government of India has been working towards the development of the North Eastern Region of the country.

Ex Input:
પ્ર�","Not only that, she also referred to the 9/11 mastermind Osama-Bin-Laden and mastermind of Mumbai attacks Hafiz Saeed in her UN address."
સુષ્મા સ્વરાજે કહ્યું કે પાકિસ્તાન એવો પડોશી દેશ છે જેણે આતંકવાદ ફેલાવવાની સાથે પોતાનાં કર્મોને નકારવામાં પણ નિપુણતા મેળવી લીધી છે.,"The Prime Minister said that the United States is a country that has a rich history of freedom and democracy, and that it is a country that has a long tradition of supporting the cause of freedom around the world.",Sushma Swaraj mentioned that Pakistan is a neighbouring country that has mastered the art of spreading terrorism as well as refusing to take responsibility for their actions.
તેમણે કહ્યું કે અમેરિકા પર હુમલો કરનાર 9/11નો માસ્ટર માઈન્ડ ઓસામા બિન લાદેન અહીં જ મળી આવ્યો હતો.,I am sure that the people of America will be very happy to know that the 9/11 terrorists have been caught in the act.,She said that Osama-Bin-Laden who was the mastermind behind the 9/11 attack was found here.
તે તો માર્યો ગયો પરંતુ મુંબઈ હુમલાનો 26/11નો માસ્ટર માઈન્ડ હાફિઝ સઈદ પાકિસ્તાનમાં હજી ખુલ્લો ફરી રહ્યો છે.,"The 26/11 Mumbai terror attack was a major blow to the Indian intelligence agencies, which had been working on the case for a long time.",He was killed but the one behind the 26/11 Mumbai attack; mastermind Hafiz Saeed is still alive in Pakistan.
"રેલીઓ કરી રહ્યો છે, ચૂંટણી લડે છે અને ભારતને ધમકી આપી રહ્યો છે.","The river is flowing, the flood is coming and India is being flooded.

Ex Input:
પ્રધાનમંત્રીએ જણાવ્યું હતું કે, આપણે આપણે સંબંધિત સંબંધો પર સ્વચ્છ ભારત અને આપણ�","He is carrying out rallies, nominating candidates in the elections and threatening India."
"સુષમાએ કહ્યું પાકિસ્તાનમાં આતંકી સ્વતંત્રતા સેનાની ગણવામાં આવે છે, પાકિસ્તાનની હરકતો રોકવામાં નહીં આવે તો આતંકવાદની આગમાં આખી દુનિયા સળગશે.","The United States is a global leader in science and technology, and we are committed to working with our partners in the Asia","Sushma said that Pakistan considers a terrorist as a freedom fighter, and if Pakistan doesn't stop such behaviour, the whole world will be burnt in the fire of terrorism."
"લખનઉ શૂટઆઉટઃ કેજરીવાલે કહ્યું- હિન્દુઓની હિતેચ્છુ પાર્ટી નથી BJP, સત્તા માટે તમામને મારી નાખશે",The Loksabha Speaker has said that the BJP will not be able to get the support of the people who are against them.,"Lucknow shootout: Kejriwal said - BJP is not a favourable party for Hindus, they will kill everyone for power."
નવી દિલ્હીઃ ઉત્તરપ્રદેશની રાજધાની લખનઉના ગોમતી નગરમાં પોલીસ કોન્સ્ટેબલ દ્ધારા એપલ કંપનીના મેનેજરની ગોળી મારીને હત્યા કરવાની ઘટના પર રાજનીતિ શરૂ થઇ ગઇ છે.,The,"New Delhi : A political game has begun on the killing of Apple's manager by a police constable in Gomti nagar, Lucknow, Uttar Pradesh's capital."
દિલ્હીના મુખ્યમંત્રી અરવિંદ કેજરીવાલે ભાજપ પર શાબ્દિક હુમલો કર્યો હતો.,"The Prime Minister, Shri Narendra Modi, today addressed the inaugural session of the International Conference on the Future of the Indian Ocean, which was held at the Indian Ocean Rim Association for Regional Cooperation (IORA) headquarters in Doha, Qatar.",Delhi chief minister Arvind Kejriwal verbally attacked BJP.
"કેજરીવાલે પૂછ્યું હતું કે, વિવેક તિવારી તો હિન્દુ હતો પછી તેને કેમ માર્યો?",What is the meaning of the word kajarivala in Gujarati?,Kejriwal stated that Vivek Tiwari was a Hindu. Then why was he killed?
"કેજરીવાલે ટ્વિટ કરી જણાવ્યું હતું કે, વિવેકને આખરે કેમ માર્યો?",How many times did the king of France visit the king of England?,Kejriwal tweeted asking why was Vivek Tiwari killed?
"કેજરીવાલે કહ્યું કે, બીજેપીના નેતા આખા દેશમા હિન્દુ યુવતીઓ પર બળાત્કાર કરે છે અને છૂટ્ટા ફરે છે.",The Chief Minister said that the Bharatiya Janata Party (BJP) government has given a new lease of life to the country's economy and has made it a strong and prosperous nation.,Kejriwal said that BJP leaders rape women all around the country and are still not behind bars.
તેઓ હિન્દુઓના હિતેચ્છુ નથી.,The people of the hills do not have any hills.,They don't wish well for the Hindus.
જો સત્તા મેળવવા માટે તેમને હિન્દુઓની હત્યા કરવી પડે તો પણ તેઓ બે મિનિટ પણ વિચાર નહી કરે.,"If you want to make a donation to the Red Cross, you can do so by sending a check to the address below.","If they have to kill Hindus in order to gain power, they will not wait for two minutes to even think about it."
"બીજી તરફ દિલ્હી બીજેપીના અધ્યક્ષે કેજરીવાલને જવાબ આપતા કહ્યુ કે, આપના કાર્યકર્તા કેજરીવાલની છીછરી સોચ જોવે છે.",Bollywood actress Deepika Padukone has said that she is proud to be a part of the Keralite community.,"On the other hand, BJP Delhi's chief replied Kejriwal that AAP activists are not fools not to observe Kejriwal's shallow thinking."
વિવેક તિવારીની હત્યા થઇ છે.,"The woman is holding a piece of paper.

Ex Input:
તેમણે જણાવ્યું હતું કે, આ સમજૂતી કરારની સંખ્યા વિશે વિવિધ સંસ્થાઓ અને સંસ્થાઓની સંખ્યા વિશે વિવિધ સંસ્થાઓ અને સંસ્થાઓન",Vivek Tiwari was murdered.
"આરોપીને સજા મળશે, અમે તેના પરિવાર સાથે છીએ.","The archery competition will be held, and I will be there with you.",The accused will be punished. We are with his family.
સમાજવાદી પાર્ટીના પ્રમુખ અખિલેશ યાદવે આ મામલે મુખ્યમંત્રી યોગી આદિત્યનાથનું રાજીનામું માંગ્યું હતું.,"The Prime Minister, Shri Narendra Modi, today addressed the gathering at the closing ceremony of the Swachh Bharat Mission, a flagship programme of the Government of India, at the Mahatma Gandhi Maidan in New Delhi.",Samajwadi Party President Akhilesh Yadav demanded the resignation of Chief Minister Adityanath on this issue.
"તેમણે કહ્યું કે, ઉત્તરપ્રદેશમાં પોલીસે સામાન્ય વ્યક્તિની હત્યા કરી સાબિત કરી દીધી કે બીજેપી સરકારમાં એન્કાઉન્ટરની હિંસાત્મક સંસ્કૃતિ કેટલી વિકૃત થઇ ગઇ છે.","Translate the following text from gu to en: તેમણે કહ્યું કે, ઉત્તરપ્રદેશમાં પોલીસે સામાન્ય વ્યક્તિની હત્યા કરી સાબિત કરી દીધી કે બીજેપી સરકારમાં એન્કાઉન્ટરની હિંસાત્મક સંસ્કૃતિ કેટલી વિકૃત થઇ ગઇ છે.","He said that by killing a common man in Uttar Pradesh, police has proved that under the power of BJP government encounters has become political tool."
PM મોદીએ કહ્યું- 'દુનિયાના 40થી વધુ દેશોમાં અમૂલ સહકારની બ્રાન્ડ બની ગઈ છે',"Translate the following text from gu to en: PM મોદીએ કહ્યું- 'દુનિયાના 40થી વધુ દેશોમાં અમૂલ સહકારની બ્રાન્ડ બની ગઈ છે' અને તેમના પરિવારની સંખ્યા વિશે પ્રધાનમંત્રીએ કહ્યું હતું કે, દુનિયાના 40 થી વધુ દેશોમાં અમ","PM Modi said - Ämul has become a brand of cooperation in more than 40 countries of the world."""
અમદાવાદ: વડાપ્રધાન નરેન્દ્ર મોદી આજે એક દિવસીય ગુજરાતની મુલાકાતે છે.,"The Prime Minister, Shri Narendra Modi, has said that the day is a day of pride for the people of Gujarat.",Ahmedabad: Prime Minister Narendra Modi is on a day visit to Gujarat.
પીએમ મોદીએ આજે સુપ્રસિધ્ધ અમૂલ ડેરીના મોગર સ્થિત રૂા.,"The Prime Minister, Shri Narendra Modi, today, inaugurated the first phase of the Rs. 1,000 crore (US$ 150 million) project to upgrade the existing railway station at Mogalakar.

Ex Input:
પ્રધાનમંત્રીએ જણાવ્યું હતું કે, આપણે આપણે સંબંધિત સંબંધોને પ્ર�",Today PM Modi visited the famous Amul dairy at Mogar
3૦૦ કરોડના ખર્ચે નિર્માણ થયેલ અત્યાધુનિક ચોકલેટ પ્લાન્ટ (રેડી ટુ યુઝ થેરાપ્યુસ્ટીક ફુડ) અને ટેક હોમ રાશન પ્લાન્ટનું ઉદ્ઘઘાટન કર્યું હતું.,"3,000 crore has been allocated for the construction of the Rajiv Gandhi Super Speciality Hospital and the Trivandrum Medical College",Inaugurated the state-of-the-art Chocolate plant (ready to use therapeutic food) and Tech home Ration Plant.
અહીં લોકોને સંબોધતા વડાપ્રધાન મોદીએ કહ્યુ હતું કે તમે આજે મને જે સન્માન આપ્યુ છે તે બદલ હું તમામ ખેડૂત પરિવારોને આદરપૂર્વક નમન કરું છું.,Gujarati,"Addressing the people here, PM Modi said that I bow to all the farmer families for the respect showed to me."""
દુનિયા ના 40થી વધુ દેશોમાં અમૂલ સહકારની બ્રાન્ડ બની ગઈ છે.,The United Nations has 40 countries as members.,Ämul has become a brand of co-operation in more than 40 countries of the world.
"આ ઉત્પાદન ઉદ્યોગ નથી, મિલ્ક પ્રોસેસિંગ પ્રક્રિયા જ નથી વૈકલ્પિક અર્થવ્યવસ્થા નું મોડેલ છે.","The project is not in progress, the project is not in progress.

Ex Input:
પ્રધાનમંત્રીએ જણાવ્યું હતું કે, આપણે આપણે સંબં","This is not just a manufacturing industry, milk processing is not just a process, rather an alternative economy model."
જેના પર સરકાર કે ઉદ્યોગપતિઓનો કબજો હોતો નથી એવું આ અર્થવ્યવસ્થાનું મોડલ છે.,"The Government of India has been working towards the development of the country through the various ministries and departments.

Ex Input:
પ્રધાનમંત્રીએ જણાવ્યું હતું કે, આપણે આપણે સંબંધિત સંબંધોન",This is a system of economics which is not controlled by government or industrialists.
અમદાવાદનું પ્રિતમનગર સહકારી હાઉસિંગ મોડેલનું પહેલું ઉદાહરણ બન્યું હતું.,"The Amdavad ni Gufa is a public toilet in Ahmedabad, Gujarat, India.",Pritamnagar of Ahmadabad became the first example of the housing model.
અમૂલના 75 વર્ષ અને દેશની આઝાદીના 75 વર્ષ પ્રસંગે અમૂલ કોઈ એવું લક્ષ્ય નક્કી દરે જે દેશ દુનિયા માટે ઉદાહરણીય બને.આ અવસરે રાજ્યપાલ ઓ.,Translate the following text from gu to en: અમૂલના 75 વર્ષ અને દેશની આઝાદીના 75 વર્ષ પ્રસંગે અમૂલ કોઈ એવું લક્ષ્ય નક્કી દરે જે દેશ દુનિયા માટે ઉદાહરણીય બને.આ અવસરે રાજ્યપાલ ઓ.સ. અને દેશની આઝાદીના 75 વર્ષ પ્રસંગે અમ,"On the occasion of 75 years of Amul and independence of India, Amul should aim for a goal that would be exceptional for the whole world. On this occasion Governor O."
"કોહલી, મુખ્ય મંત્રી વિજયભાઇ રૂપાણી અને નાયબ મુખ્યમંત્રી નીતિનભાઇ પટેલ ઉપસ્થિતિમાં રહ્યા હતા.","The Prime Minister, Shri Narendra Modi, today addressed the inaugural session of the National Conference on the theme of ‘India: A Nation of Diversity’ at the Vigyan Bhawan in New Delhi.

Ex Input:
પ્રધાનમંત્રીએ જણાવ્યું","Kohli, chief minister Vijaybhai Rupani and deputy chief minister Nitin bhai Patel were present."
આણંદમાં દોઢેક કલાકના રોકાણ બાદ વડા પ્રધાન 12.50 અમદાવાદ આવવા રવાના થશે.,"The President of India will be the Chief Guest at the function to be held at the National Stadium, New Delhi on 12.50 pm on the occasion of the National Day of the Republic of Mauritius.","After spending one and a half hours at Anand, Prime minister will leave at 12.50 for Ahmedabad."
અંજારથી રાજકોટ જશે.,The first is the Aryan Kingdom of Ajanta and Ellora.,He will go to Rajkot from Anjar.
તલવાર આપવા આવેલા ક્યા નેતાને જોઇને મોદી થઇ ગયા ખુશ?,What is the meaning of the word 'tala' in Gujarati?,Modi was happy to think - which leader will present me with a sword?
આણંદઃ આણંદમાં વડાપ્રધાન મોદીએ અમૂલના ચોકલેટ પ્લાન્ટનું ઉદ્ધાટન કર્યું હતું.,"The President of India, Shri Pranab Mukherjee, has approved the appointment of Shri P. Chidambaram as the Chairman of the Central Board of Direct Taxes (CBDT).",Anand: Prime Minister Modi inaugurated the Amul chocolate plant in Anand.
ત્યારબાદ મોદીએ એક રેલીને સંબોધી હતી.,"The President of the Republic of India, Shri Pranab Mukherjee, has been elected as the President of the Republic of India for a term of five years.","Later, Modi addressed a rally."
આ અગાઉ અહી મોદીનું ભવ્ય સ્વાગત કરવામાં આવ્યું હતું.,"The President of India, Shri Ram Nath Kovind, has been conferred with the title of the 'Vice President of India' by the President of India, Shri Ram Nath Kovind, in the presence of the President of India, Shri Ram Nath Kovind, in the presence of the President of India, Shri Ram Nath Kovind.","Earlier, Modi had received a grand welcome."
