Source,Reference,Translation
"মেজর সিনহার হত্যাকান্ড যখন অবশেষে ক্ষমতাসীনদের নাড়িয়ে দিয়েছে, এটি সুস্পষ্ট যে সরকার তার নিরাপত্তা বাহিনীর মধ্যকার বিস্তৃত সমস্যা সমাধানের চেয়ে ঘটনাটি পাশ কাটিয়ে উঠতে বেশি আগ্রহী।","While Major Sinha's killing has finally turned the heads of those in power, it's clear the government is more interested in moving past the incident than addressing a pervasive problem within its security forces.","When the murder of Major Sinha finally shook the powers that be, it is clear that the government is more interested in sweeping the incident under the rug rather than addressing the broader issues within its security forces."
মার্চ মাসে করোনাভাইরাস লকডাউন কর্যকর হবার পর ঢাকার বেশিরভাগ এলাকায় বইয়ের দোকানগুলি বন্ধ হয়ে যায়।,Most bookstores in Dhaka were closed when the Coronavirus lockdown was enforced in March.,"After the coronavirus lockdown came into effect in March, most bookstores in Dhaka were closed."
অ্যামাজন বিডির কান্ট্রি ম্যানেজার শশাঙ্ক পান্ডে এবং ওয়ালটনের নির্বাহী পরিচালক ও কম্পিউটার পণ্য বিভাগের সিইও ইঞ্জিনিয়ার লিয়াকত আলী নিজ নিজ প্রতিষ্ঠানের পক্ষে চুক্তিতে সই করেন।,"Shashank Pandey, Country Manager of Amazon BD and Engineer Liakat Ali, Executive Director of Walton and CEO of Computer Products Division signed the agreement on behalf of their respective organizations.",Amazon BD's Country Manager Shashank Pandey and Walton's Executive Director and CEO of Computer Products Division Engineer Liakat Ali signed the agreement on behalf of their respective organizations.
"বঙ্গবন্ধুর দূরদর্শীপূর্ণ চিন্তা-ভাবনায় অনুপ্রাণিত হয়ে আমরা বিমসটেক, সার্ক, বিবিআইএন ও বিসিআইএমের মতো আঞ্চলিক সহযোগিতা অব্যাহত রেখেছি।","Inspired by Bangabandhu's visionary ideas, we are continuing to champion regional cooperation like BIMSTEC, SAARC, BBIN, BCIM.","Inspired by the visionary thoughts of Bangabandhu, we have continued regional cooperation like BIMSTEC, SAARC, BBIN and BCIM."
"তিনি বলেন, দ্বন্দ্বের কারণে এই সুবিধাটি অস্ত্র বিক্রেতাদের কাছে যায়।","Due to conflicts, the benefit goes to the arms sellers, she said.","He says, due to the conflict, this advantage goes to the arms sellers."
"এছাড়া, সমাজকল্যাণ মন্ত্রণালয়ের প্রতিমন্ত্রী শরীফ আহমেদকে গৃহায়ণ ও গণপূর্ত মন্ত্রণালয়ের প্রতিমন্ত্রী করা হয়েছে।","Besides, State Minister for Social Welfare Sharif Ahmed was made state minister for Housing and Public Works Ministry.","Besides, the state minister of the Ministry of Social Welfare, Sharif Ahmed has been made the state minister of the Ministry of Housing and Public Works."
আমাদের প্রতি বছর আট লাখ টন পেঁয়াজ আমাদের আমদানি করতে হয় যার ৯০ ভাগ আসে ভারত থেকে।,"""We are to import eight lakh tonnes of onions every year, of which 90 per cent are imported from India.""","We have to import eight lakh tons of onions every year, 90 percent of which comes from India."
আমরা সন্ত্রাসীদের চিহ্নিত করা মাত্রই তাদের বিরুদ্ধে ত্বরিত পদক্ষেপ নিচ্ছি।,We're taking prompt actions against the terrorists when they're identified.,We are identifying the terrorists and taking swift action against them.
"চীনের প্রধানমন্ত্রী বলেন, দুই দেশকে আলোচনার মাধ্যমে এই সমস্যার সমাধান বের করতে হবে।",The Chinese premier said the two countries will have to find out a solution to this end through discussion.,The Prime Minister of China said that the two countries must find a solution to this problem through negotiations.
"দ্বিতীয় প্রস্তাবে প্রধানমন্ত্রী বলেন, দ্রুত প্রবৃদ্ধির সময়ে সমাজে যেন বৈষম্য আরো বেড়ে না যায় তা আমাদের নিশ্চিত করতে হবে কারণ সম্পদ হতে হবে অন্তর্ভুক্তমূলক এবং তা তৃণমূল পর্যায় পর্যন্ত পৌঁছতে হবে।","In the second idea, Sheikh Hasina said it must be ensured that inequality across societies could not widen in times of faster growth as wealth creation should be inclusive and must trickle down to the grassroot levels.","In the second proposal, the Prime Minister said, during the time of rapid growth, we must ensure that inequality in society does not increase further because wealth must be inclusive and it must reach the grassroots level."
"তিনি বলেন, একটি টেকসই ব-দ্বীপ বাস্তবায়নে এটি একটি দীর্ঘ মেয়াদি পরিকল্পনা, নীতি এবং অঙ্গীকার ।","It is a long-term strategy, policy and commitment to implement actions for sustainable delta, she said.","He said, implementing a sustainable island is a long-term plan, policy, and commitment."
জাতীয় নেতাদের নিয়ে মিথ্যা বক্তব্য প্রচার করায় ৬ জন গ্রেপ্তার।,6 arrested for spreading false propaganda on national leaders.,Six people arrested for spreading false statements about national leaders.
"যে কারণে পাঠক এ বইয়ে গল্প, ভ্রমণ এবং তথ্য- তিনটিই পাবেন।","That is why readers, in this book, will find three things- stories, travels and information.","The reason why the reader will find stories, travel and information - all three in this book."
উদয় হাকিম ১৯৭৫ সালের ২৫ মার্চ টাঙ্গাইলের মির্জাপুর উপজেলার বর্ধনপাড়া গ্রামে জন্মগ্রহণ করেন।,Uday Hakim was born on 25 March in 1975 at Bordhonpara village under Mirzapur Upazila of Tangail District.,"Uday Hakim was born on 25 March 1975 in Bardhanpara village of Mirzapur Upazila, Tangail."
"কক্সবাজারের উন্নয়ন প্রসঙ্গে শেখ হাসিনা বলেন, সমুদ্র তীরবর্তী এই জেলা এক সময় খুবই অবহেলিত ছিল এবং এর জনগণ অমানবিক জীবনযাপন করত।","While talking about the the development of Cox's Bazar, Sheikh Hasina said the coastal district was once very neglected and the people used to lead an inhuman life.","Regarding the development of Cox's Bazar, Sheikh Hasina said, this coastal district was once very neglected and its people lived in inhumane conditions."
তথ্যের শ্রেণীবিন্যাস অকাট্য প্রয়োজনীয়তা হলেও এই ক্ষমতা কার হাতে নাগরিকদের সে বিষয়ে অবশ্যই সজাগ থাকতে হবে।,"Categorization of information is an irrefutable necessity, but citizens must remain vigilant in terms of who holds the power to do it.","Although classification of information is an indispensable necessity, citizens must be vigilant about whose hands this power is in."
প্রধানমন্ত্রী শেখ হাসিনা স্পেনের রাষ্ট্রপতি পেড্রো সানচেজের সঙ্গেও দ্বিপাক্ষিক বৈঠক করবেন।,Prime Minister Sheikh Hasina will also hold a bilateral meeting with Spanish President Pedro Sanchez.,Prime Minister Sheikh Hasina will also hold a bilateral meeting with Spanish President Pedro Sanchez.
"প্রধানমন্ত্রী বলেন, ""আমরা জোরপূর্বক বাস্তুচ্যুত রোহিঙ্গাদের প্রত্যাবাসনে মিয়ানমারের সঙ্গে আলোচনা চালিয়ে যাচ্ছি এবং এই বিষয়ে আন্তর্জাতিক সম্প্রদায়ের সহযোগিতা কামনা করেছি।""","The Prime Minister said, ""We're holding talks with Myanmar for repatriation of the forcibly displaced Rohingyas and we also sought help of the international community to this end.""","The Prime Minister said, ""We are continuing discussions with Myanmar for the repatriation of forcibly displaced Rohingyas and have sought the cooperation of the international community in this regard."""
"শেখ হাসিনা গত জাতীয় নির্বাচনের কথা উল্লেখ করে বলেন, ""গত সাধারণ নির্বাচনে সব শ্রেণি-পেশার মানুষ আমাদের সমর্থন দিয়েছে যা অতীতে কখনো দেখা যায়নি।""","Referring to the last general election, Sheikh Hasina said, ""People of all professions and classes immensely supported us in the last general election which was never seen in the past.""","Sheikh Hasina, referring to the last national election, said, ""In the last general election, people of all classes and professions supported us, which has never been seen before."""
আবেগময় হয়ে তিনি উচ্চারণ করেন 'রোহিঙ্গা' শব্দটি এবং সবার পক্ষ থেকে তাঁদের কাছে ক্ষমা প্রার্থনাও করেছেন।,"Emotionally, he pronounced the word ""Rohingya"" and apologized to everyone.",He emotionally utters the word 'Rohingya' and also apologizes to them on behalf of everyone.
এর আগে প্রধানমন্ত্রী শেখ হাসিনা বাংলাদেশ সময় সকাল ৯টা ৩৫ মিনিটে লন্ডনের পথে হযরত শাহজালাল আন্তর্জাতিক বিমানবন্দর ত্যাগ করেন।,"Earlier, Prime Minister Sheikh Hasina left Hazrat Shahjalal International Airport for London at 9:35 am Bangladesh time.","Earlier, Prime Minister Sheikh Hasina left Hazrat Shahjalal International Airport for London at 9:35 am Bangladesh time."
বিশ্বব্যাপী জলবায়ু পরিবর্তনের ইস্যুতে বাংলাদেশ এবং ফিনল্যান্ড একসঙ্গে কাজ করতে সম্মত হয়েছে।,Bangladesh and Finland have agreed to work together on the issue of worldwide climate change.,Bangladesh and Finland have agreed to work together on the issue of global climate change.
দেশের নদীগুলোকে রক্ষা করতে আমাদের অবশ্যই পদক্ষেপ নিতে হবে।,We must take steps to protect the rivers of the country.,We must take steps to protect the rivers of the country.
প্রধানমন্ত্রী শেখ হাসিনা আজ ভারতের ন্যাশনাল কংগ্রেস পার্টির সভাপতি সোনিয়া গান্ধীর সাথে কুশল বিনিময় করেছেন।,Prime Minister Sheikh Hasina today exchanged pleasantries with Indian National Congress Party President Sonia Gandhi.,"Prime Minister Sheikh Hasina today exchanged greetings with Sonia Gandhi, President of India's National Congress Party."
"প্রধানমন্ত্রী বলেন, পুরো ২০১৮ এবং ২০১৯ সাল জুড়েই জলবায়ু পরিবর্তন বিশ্বব্যাপী জনস্বাস্থ্য এবং জীবনযাত্রার ক্ষতি সাধন করেছিল।","The prime minister said throughout 2018 and 2019, climate change wrecked havoc on people's health and livelihood around the globe.","The Prime Minister said, throughout 2018 and 2019, climate change caused damage to global public health and livelihoods."
যা গত বছরের একই সময়ের চেয়ে ২ দশমিক ১৮ শতাংশ বেশি।,Which is 2.8 per cent more than the same period of last year.,Which is 2.18 percent higher than the same time last year.
"কিন্তু তার সরকার এখন হতাশাগ্রস্ত পুরুষ, মহিলা এবং বাচ্চাদের ভাষানচরে ধরে রেখেছে।","But her government is now holding desperate men, women, and children on Bhasan Char.","But his government is now holding incommunicado desperate men, women and children."
"ইতো শেখ হাসিনাকে বলেন যে, জাপানের প্রধানমন্ত্রী শিনজো অ্যাবে তাঁর গতিশীল নেতৃত্বের ভূয়শী প্রশংসা করেছেন এবং তিনি (অ্যাবে) দুই দেশের মধ্যে উন্নয়ন সহযোগিতা আরো শক্তিশালী করতে অপেক্ষমান রয়েছেন।",Ito told Sheikh Hasina that Japanese Prime Minister Shinzo Abe lauded her dynamic leadership and he (Abe) is looking forward to further strengthening the development assistance between the two countries.,Sheikh Hasina was told that Japanese Prime Minister Shinzo Abe highly praised her dynamic leadership and he (Abe) is waiting to further strengthen the development cooperation between the two countries.
আন্তর্জাতিক সম্প্রদায় দ্রুত পদক্ষেপ নেবে বলে আমরা মনে করি।,We believe that the international community will take a prompt action very soon.,We believe the international community will take swift action.
"পররাষ্ট্র সচিব উল্লেখ করেন যে, প্রধানমন্ত্রী আরও বলেছেন, বাংলাদেশের ১০টি পণ্যের কোটা ও শুল্ক মুক্ত প্রবেশাধিকারের বিষয়টি নিয়ে শিগগিরই আলোচনা অনুষ্ঠিত হবে।",The foreign secretary noted that the Prime Minister also said the issue of discussion on duty free and quota free access of 10 Bangladeshi products will take place soon.,The Foreign Secretary mentioned that the Prime Minister also said that discussions will be held soon on the issue of quota and duty-free access of 10 products of Bangladesh.
ভোটে দলের নিরঙ্কুশ বিজয়ে মোদিকে শেখ হাসিনার অভিনন্দন,Hasina congratulates Modi on his party's landslide poll victory,Sheikh Hasina congratulates Modi on party's landslide victory in polls
"শেখ হাসিনা তার সম্মানে বাংলাদেশি কমিউনিটির দেওয়া একটি সংবর্ধনা অনুষ্ঠানে যোগদান করবেন, হোলি আর্টিজানে হামলায় ক্ষতিগ্রস্ত জাপানিদের পরিবারের সদস্যদের সঙ্গে সাক্ষাৎ করবেন এবং জাপানি ব্যবসায়ী নেতাদের সঙ্গে বৈঠক করবেন।","Sheikh Hasina will join a Bangladeshi community reception event to be hosted in her honour, meet with family members of the Japanese victims of the Holey Artisan attack and Japanese business leaders.","Sheikh Hasina will attend a reception program given by the Bangladeshi community in her honor, meet with family members of the Japanese victims of the Holy Artisan attack, and hold a meeting with Japanese business leaders."
শুক্রবার দুপুরে খুলনা শহরের শিরোমনি তেঁতুলতলা এলাকায় এই দুর্ঘটনা ঘটে।,The accident took place at Shiromini Tetultola area of Khulna city on Friday noon.,The accident occurred in Shiramani Tetultala area of Khulna city on Friday afternoon.
"আমাদের রাজনীতি, অর্থনীতি ও সমাজের জন্য এ ধরনের সহযোগিতাপূর্ণ সংস্কৃতি প্রয়োজন।","""Such collaborative culture is essential across our politics, economy and society.""","We need this kind of collaborative culture for our politics, economy and society."
"ট্রানজিটের বিষয়ে তিনি বলেন, এই অঞ্চলে বাংলাদেশ-ভুটান-ভারত-নেপাল (বিবিআইএন) সড়ক এবং রেল যোগাযোগের বিষয়টি একটি বড় উদ্যোগ।","In the matter of transit, he said, the Bangladesh-Bhutan-India-Nepal (BBIN) road and rail connectivity is a big initiative in the region.","Regarding transit, he said that the issue of Bangladesh-Bhutan-India-Nepal (BBIN) road and rail connectivity in this region is a major initiative."
৩ জুন রাত ১টা ১০ মিনিটে তিনি ফিনল্যান্ডের হেলসিংকির উদ্দেশে জেদ্দা ত্যাগ করবেন।,"On June 3 at 1:10 am, she will depart Jeddah for Helsinki, Finland.","On June 3 at 1:10 am, he will leave Jeddah for Helsinki, Finland."
আমরা প্রধানমন্ত্রী শেখ হাসিনার হাতকে শক্তিশালী করতে কাজ করে যাবো।,We will work to strengthen hands of Prime Minister Sheikh Hasina.,We will work to strengthen the hands of Prime Minister Sheikh Hasina.
বাংলাদেশের প্রযুক্তিগত উৎকর্ষতা এখন বিশ্বের বিভিন্ন দেশের জন্য একটা নজির।,The technological excellence of Bangladesh is now an example for other countries in the world.,Bangladesh's technological excellence is now a model for various countries around the world.
ওয়ালটনের সঙ্গে ব্যবসায়িক সম্পর্ক তৈরিতে খুব শিগগিরই আবার বাংলাদেশ সফর করবেন বলে জানান কম্বোডিয়ার প্রতিমন্ত্রী।,The Cambodian minister said he would tour Bangladesh again soon to build business relations with Walton.,Cambodia's minister informed that he will visit Bangladesh again very soon to establish business relations with Walton.
যুক্তরাজ্যে সরকারি সফরে বুধবার সকালে লন্ডনের উদ্দেশে ঢাকা ত্যাগ করেছেন প্রধানমন্ত্রী শেখ হাসিনা।।,Prime Minister Sheikh Hasina left Dhaka for London Wednesday morning on an official visit to the United Kingdom.,Prime Minister Sheikh Hasina left Dhaka for London on Wednesday morning on an official visit to the United Kingdom.
আওয়ামী লীগের নেতৃত্বে গত কয়েক বছরে অর্থনৈতিক ক্ষেত্রে বাংলাদেশ অনেক এগিয়ে গেছে।,Bangladesh has stepped forward in economic sector in last couple of years under the leadership of Awami League.,"Under the leadership of Awami League, Bangladesh has made significant progress in the economic sector over the past few years."
২০১৯ সালের মধ্যে পদ্মা সেতু প্রকল্প সম্পন্ন হওয়ার কথা।,The Padma Bridge project is scheduled to end by 2019.,The Padma Bridge project was supposed to be completed by 2019.
প্রধানমন্ত্রী এসময় যাদের জমি-জমা নিয়ে উন্নয়ন প্রকল্প বাস্তবায়ন করা হচ্ছে তাদেরকে সঠিকভাবে ক্ষতিপূরণ প্রদানের বিষয়ে লক্ষ্য রাখার জন্য সংশ্লিষ্ট কর্তৃপক্ষকে নির্দেশ দেন।,"At that time, the prime minister instructed the authorities concerned to give proper compensation to the people whose lands are acquired for development.",The Prime Minister at this time instructs the concerned authorities to pay attention to providing proper compensation to those whose land is being used to implement development projects.
বাংলাদেশ থেকে রোহিঙ্গাদের ফিরিয়ে নিতে মিয়ানমারের সরকারকে সম্মত করতে বেইজিং চেষ্টা করবে বলে ঢাকাকে আশ্বস্ত করেছে।,Beijing assured Dhaka that it would try to persuade Myanmar Goverment for taking back Rohingyas from Bangladesh.,Beijing has assured Dhaka that it will try to persuade the Myanmar government to take back the Rohingya from Bangladesh.
বইটিতে আমি ভ্রমণের অভিজ্ঞতা তুলে ধরার পাশাপাশি জায়গাটি সম্পর্কে গুরুত্বপূর্ণ তথ্য তুলে ধরার চেষ্টা করেছি।,"In the book, I have tried to highlight the experience of visiting there as well as important information about the place.","In the book, I have tried to capture my travel experiences as well as provide important information about the place."
"রাজনৈতিক এবং সাংস্কৃতিক সম্পর্কও সুন্দর অবস্থানে রয়েছে, তিনি বলেন।","Political and cultural relations remain at good level, he said.","The political and cultural relations are also in a beautiful state, he says."
এ ব্যবসা এ দেশে হতে দেয়া হবে না।,The business will not be allowed to run in the country.,This business will not be allowed in this country.
রোহিঙ্গা ইস্যুতে অক্টোবরে বাংলাদেশে আসছে মিয়ানমারের প্রতিনিধিদল,Myanmar delegation coming to Bangladesh in October on Rohingya issue,Myanmar delegation to visit Bangladesh in October over Rohingya issue
"আওয়ামী লীগ ব্যবসায়ী সমাজের পাশাপাশি কৃষক, শ্রমিক, ছাত্র এবং শিক্ষকসহ সব পেশার মানুষের কাছ থেকে ব্যাপক সমর্থন পেয়েছে বলে তিনি উল্লেখ করেন।","Awami League got huge supports from the business community as well as from the professionals such as farmers, labourers, students and teachers, she mentioned.","He mentioned that Awami League has received extensive support from people of all professions including farmers, workers, students and teachers, alongside the business community."
এর আগে গত বছরের জুলাই মাসে লন্ডনে ৭৫ বছর বয়সি প্রেসিডেন্ট তার স্বাস্থ্য পরীক্ষা করিয়েছিলেন।,"Earlier, the 75-year-old President Hamid conducted his health check-up in London in July last year.","Earlier, in July last year, the 75-year-old President had a health checkup in London."
"ডেল্টা পরিকল্পনা ২১০০ এর স্টেক হোল্ডারদের সঙ্গে ঘনিষ্ঠভাবে কাজ করা জিসিএ বাংলাদেশ, এটির সফল বাস্তবায়ন নিশ্চিত করার জন্য আন্তর্জাতিক সেরা চর্চা কাজে লাগাতে এবং অর্থ সংস্থান করতে কাজ করবে বলেও তিনি আশা প্রকাশ করেন।","Working closely with the stakeholders of Delta Plan 2100, GCA Bangladesh, she hoped, would work to harness international best practices and finance to ensure its successful implementation.","GCA Bangladesh will work closely with the stakeholders of the Delta Plan 2100 to ensure its successful implementation by applying international best practices and securing funding, he also expressed hope."
প্রধানমন্ত্রী শেখ হাসিনাকে ফোনে পবিত্র রমজানের শুভেচ্ছা জানিয়েছেন ফিলিস্তিনের প্রেসিডেন্ট মাহমুদ আব্বাস।,Palestinian President Mahmoud Abbas called Prime Minister Sheikh Hasina and extended holy Ramadan greetings to her.,Palestinian President Mahmoud Abbas has extended his greetings to Prime Minister Sheikh Hasina over the phone on the occasion of the holy month of Ramadan.
বৃত্তাকার সড়ক ও নৌপথ চালুর ফলে মানুষ ও পণ্য পরিবহন সহজতর হবে।,"With the introduction of circular road and river route, transportation of people and goods would be easier.",The introduction of circular roads and waterways will make it easier to transport people and goods.
বাংলাদেশ বিনিয়োগবান্ধব উদার গণতান্ত্রিক রাষ্ট্র বলে জানিয়েছেন বাংলাদেশ বিনিয়োগ উন্নয়ন কর্তৃপক্ষের (বিডা) নির্বাহী চেয়ারম্যান কাজী মোঃ আমিনুল ইসলাম।,Executive Chairman of Bangladesh Investment Development Authority (BIDA) Kazi Md. Aminul Islam regarded Bangladesh as the investment-friendly liberal democratic state.,"Bangladesh is an investment-friendly liberal democratic state, said Kazi M Aminul Islam, Executive Chairman of the Bangladesh Investment Development Authority (BIDA)."
"উনি অনেক জানতেন, তবুও তিনি শিখতেন এবং শিখতে ভালোবাসতেন।","He knew a lot, but he used to learn and loved to learn.","He knew a lot, yet he learned and loved to learn."
বাবা দিবস উপলক্ষে বিশেষ ডুডল তৈরি করেছে গুগল।,Google has created a speical doodle on the occasion of Father's Day.,Google has created a special doodle on the occasion of Father's Day.
বুধবার হবিগঞ্জে এক সম্মেলনে আওয়ামী লীগের সাধারণ সম্পাদক এ মন্তব্য করেন।,The Awami League general secretary made the opinion at a conference at Habiganj on Wednesday.,The Awami League general secretary made the remarks at a conference in Habiganj on Wednesday.
শুক্রবার রাজধানীর বঙ্গবন্ধু অ্যাভিনিউয়ে দলীয় প্রধান কার্যালয়ে আয়োজিত আওয়ামী লীগের কেন্দ্রীয় নির্বাহী কমিটি ও উপদেষ্টামণ্ডলীর এক যৌথ সভায় এ কথা বলেন প্রধানমন্ত্রী।,The premier was said this in a joint meeting of the Awami League's central executive committee and advisory council at its head office at Bangabandhu Avenue in the capital on Friday.,The Prime Minister said this at a joint meeting of the Awami League's Central Executive Committee and Advisory Council held at the party's central office on Bangabandhu Avenue in the capital on Friday.
"আফ্রিকাতে বিশেষভাবে রাজনীতি বিক্ষুব্ধ সময়ে ভুল এবং বানোয়াট তথ্য প্রচারণা প্রায়শই অনলাইনে চাউর হয়ে ওঠার সময়গুলোতে মার্কিন যুক্তরাষ্ট্র-ভিত্তিক প্রযুক্তি এবং সামাজিক গণ যোগাযোগাযোগ মাধ্যমের সংস্থাগুলি ""সত্য"" নির্ধারক হয়ে ওঠে।","In Africa, where mis- and disinformation campaigns often go viral online, especially during politically charged periods, US-based tech and social media companies become arbiters of the ""truth.""","In Africa, especially during times of political turmoil, false and fabricated information often spreads rapidly online, and US-based technology and social media companies become the ""truth"" arbiters."
বুধবার মধ্যরাতে টঙ্গী ব্রিজ এলাকায় র‌্যাবের সঙ্গে 'বন্দুকযুদ্ধে' দুই সন্দেহভাজন ডাকাত নিহত হয়েছেন।,Two suspected robbers were killed in a 'gunfight' with RAB in Tongi bridge area on Wednesday midnight.,"On Wednesday midnight, two suspected robbers were killed in a 'gunfight' with RAB in the Tongi Bridge area."
বাংলাদেশ ও ভিয়েতনাম বাণিজ্য ও সংস্কৃতিসহ বিভিন্ন খাতে অভিজ্ঞতা বিনিময় করতে পারে,Bangladesh and Vietnam can share their experiences in different fields including trade and culture.,Bangladesh and Vietnam can exchange experiences in various sectors including trade and culture.
গেল বছর জুড়ে রোহিঙ্গা ইস্যু নিয়ে সরকার সরব ছিল ।,The government was active over Rohingya issue in last year.,The government was vocal about the Rohingya issue throughout last year.
জাতির জনক বঙ্গবন্ধু শেখ মুজিবুর রহমানের প্রতিকৃতিতে শ্রদ্ধা নিবেদনের মাধ্যমে তাদের নতুন যাত্রা শুরু হয়।,Their new journey began through paying tributes to Father of the Nation Bangabandhu Sheikh Mujibur Rahman's portrait.,Their new journey begins with paying homage to the portrait of the Father of the Nation Bangabandhu Sheikh Mujibur Rahman.
"তিনি বলেন, আমি এই বর্বরোচিত ঘটনার তীব্র নিন্দা জানাই।","We strongly condemn the barbaric incident, she said.","He said, ""I strongly condemn this barbaric incident."""
শেখ হাসিনা জাপানের প্রধানমন্ত্রীর অফিসে পৌঁছলে সেখানে তাকে গার্ড অব অনার প্রদান করা হবে।,Sheikh Hasina will be given a guard of honour when she will reach the Japanese Prime Minister's Office.,"When Sheikh Hasina arrives at the office of the Prime Minister of Japan, she will be given a guard of honor there."
"অপর্যাপ্ত চিকিৎসা সুবিধা, চলাচলের স্বাধীনতায় সীমাবদ্ধতা, জীবিকার সুযোগের অভাব এবং বর্ষা মৌসুমে সুরক্ষা সম্পর্কে ভয়।","Inadequate medical facilities, restrictions on freedom of movement, lack of opportunities for livelihoods, and fears about safety during monsoon season.","Inadequate medical facilities, restrictions on freedom of movement, lack of livelihood opportunities, and fear of safety during the monsoon season."
